no,topik,aras,soalan,A,B,C,D,jawapan
1,AKIDAH,biasa,Apakah nama sifat Allah SWT yang bermaksud Maha Mengetahui?,Al-Qadir,Al-'Alim,Al-Ghafur,Ar-Rahman,B
2,AKIDAH,biasa,Beriman kepada qada' dan qadar merupakan rukun iman yang ke berapa?,Ketiga,Keempat,Kelima,Keenam,D
3,AKIDAH,biasa,Apakah lawan kepada sifat amanah yang wajib ada pada para rasul?,Kitman,Baladah,Khianat,Kizib,C
4,ADAB,biasa,Apakah yang sepatutnya kita ucapkan apabila seseorang memberikan bantuan kepada kita?,Selamat datang,Terima kasih,Selamat jalan,Jumpa lagi,B
5,ADAB,biasa,Apakah yang perlu dilakukan oleh seorang Muslim apabila mendengar azan berkumandang?,Menjawab azan,Berbual dengan rakan,Bermain-main,Menutup telinga,A
6,SIRAH,biasa,Siapakah sahabat yang menemani Nabi Muhammad SAW ketika Baginda berhijrah dari Makkah ke Madinah?,Umar Al-Khattab RA,Uthman bin Affan RA,Abu Bakar As-Siddiq RA,Ali bin Abi Talib RA,C
7,SIRAH,biasa,Apakah nama peperangan besar yang pertama berlaku antara umat Islam dengan kaum Quraisy?,Perang Uhud,Perang Khandaq,Perang Hunain,Perang Badar,D
8,SIRAH,biasa,Apakah nama peristiwa perpindahan Nabi Muhammad SAW dan para sahabat dari Makkah ke Madinah?,Israk,Hijrah,Fathu Makkah,Bai'ah,B
9,AKIDAH,tinggi,Apakah sikap seorang Muslim apabila menghadapi sesuatu yang tidak dapat dielakkan selepas berusaha?,Putus asa,Menyalahkan orang,Tawakal kepada Allah,Berhenti berusaha,C
10,AKIDAH,tinggi,Apakah keyakinan yang mendorong kita tetap berbuat baik walaupun tiada manusia melihat?,Allah Maha Melihat,Manusia Maha Mengetahui,Dunia Maha Adil,Malaikat Maha Berkuasa,A
11,ADAB,tinggi,Apakah tindakan terbaik apabila rakan melakukan kesalahan kepada kita?,Membalas kesalahan,Memarahinya,Memaafkan kesalahannya,Memburukkannya,C
12,SIRAH,tinggi,Apakah nilai utama yang ditunjukkan Nabi Muhammad SAW ketika berhadapan dengan orang yang memusuhinya?,Marah dan membalas,Sabar dan pemaaf,Takut dan berdiam,Tegas dan menghukum,B
